name	r 	g 	b 	a
yellow_black	0.10588235294117647	0.058823529411764705	0.0	1.0
yellow_dark	0.2980392156862745	0.17647058823529413	0.01568627450980392	1.0
yellow_med	0.6509803921568628	0.3764705882352941	0.12941176470588237	1.0
yellow	1.0	0.6901960784313725	0.2549019607843137	1.0
red_black	0.10196078431372549	0.0	0.00392156862745098	1.0
red_dark	0.4	0.01568627450980392	0.0196078431372549	1.0
red_med	0.6980392156862745	0.11372549019607843	0.10588235294117647	1.0
red	0.9686274509803922	0.27058823529411763	0.2627450980392157	1.0
blue_black	0.0	0.0784313725490196	0.09411764705882353	1.0
blue_dark	0.011764705882352941	0.19607843137254902	0.25098039215686274	1.0
blue_med	0.09803921568627451	0.5215686274509804	0.6549019607843137	1.0
blue	0.36470588235294116	0.8431372549019608	0.996078431372549	1.0
light_grey	0.7215686274509804	0.7411764705882353	0.7529411764705882	1.0
med_grey	0.5372549019607843	0.5529411764705883	0.5647058823529412	1.0
dark_grey	0.22745098039215686	0.24313725490196078	0.2549019607843137	1.0
green	0.0	1.0	0.0	1.0
offblack	0.05	0.05	0.05	1.0
black	0.0	0.0	0.0	1.0
offwhite	0.9411764705882353	0.9215686274509803	0.8980392156862745	1.0
white	1.0	1.0	1.0	1.0
